,Dimensions,is subdimension of,Definition,Reference,occurrence,keywords
428,Precision in Diagnostic Codes,precision,,de2006identifying,1,administrative data: 1; collaborative research project: 1; health administrative data: 1; elixhauser comorbidity: 1; patient safety indicator: 1; 
429,Precision of Risk Estimates,precision,,lavelle2012framework,1,disease clusters: 1; disease mapping: 1; environmental pollution: 1; epidemiology: 1; geographic studies: 1; methods: 1; 
430,Precision of The Estimates,precision,,gupta1985relationship,6,cystic fibrosis: 1; disease registry: 1; patient registry: 1; database: 1; phase-encoding polarity: 1; diffusion tensor imaging: 1; fractional anisotropy: 1; epi distortions: 1; susceptibility artifacts: 1; data quality: 1; group analysis: 1; 
431,Prediction Accuracy,accuracy,,hsueh2009data,17,disease resistance: 2; outlier detection: 2; machine learning: 2; genome wide association study: 1; zea mays: 1; electronic tongue: 1; robust partial least squares: 1; bitterness evaluation: 1; sensors: 1; nested association mapping: 1; large wearable sensor dataset: 1; human locomotion: 1; inertial measurement units: 1; 3-axial acceleration sensors: 1; finite impulse response: 1; wavelet filters: 1; iterative classifier: 1; svm: 1; multi-class classification: 1; change-5t: 1; orbit determination: 1; onboard gnss receiver: 1; c/n0: 1; deep space navigation: 1; snp: 1; quality control: 1; parentage: 1; parentage prediction: 1; isag200: 1; seafloor observatory: 1; data quality control: 1; arima: 1; data interpolation: 1; random forest: 1; kriging: 1; predictive modeling: 1; r statistical computing: 1; sampling: 1; spatiotemporal data: 1; spatial data: 1; geostatistics: 1; pedometrics: 1; data mining: 1; quantitative trait loci: 1; genome-wide association study: 1; epigenome-wide association study: 1; alzheimers disease: 1; neuropathology: 1; mri: 1; neuroimaging: 1; nipt: 1; trisomy prediction: 1; next-generation sequencing: 1; genomic selection: 1; ascochyta blight: 1; pea: 1; genotyping-by-sequencing: 1; 
432,Prediction Error,error,,jansen1998prediction,10,global navigation satellite system (gnss): 1; beidou navigation satellite system (bds): 1; global positioning system (gps): 1; navigation data: 1; ephemeris: 1; almanac: 1; influenza-like illnesses reports: 1; digital disease detection: 1; dynamic error reduction: 1; validation test: 1; autoregression: 1; large wearable sensor dataset: 1; human locomotion: 1; inertial measurement units: 1; 3-axial acceleration sensors: 1; finite impulse response: 1; wavelet filters: 1; iterative classifier: 1; svm: 1; multi-class classification: 1; bds-3 experimental satellites: 1; precise orbit determination: 1; improved cycle-slip detection and repair algorithm: 1; improved methods: 1; normal equation stacking: 1; step-by-step: 1; random forest: 1; kriging: 1; predictive modeling: 1; r statistical computing: 1; sampling: 1; spatiotemporal data: 1; spatial data: 1; geostatistics: 1; pedometrics: 1; alzheimers disease: 1; machine learning: 1; neuropathology: 1; mri: 1; neuroimaging: 1; 
433,Prediction Uncertainty,uncertainty,,setegn2010swat,4,electrolytic: 1; amperometric: 1; air quality: 1; pollution: 1; monitor: 1; quantification model: 1; structural identifiability: 1; practical parameter identifiability: 1; mixed effects models: 1; pharmacodynamic models: 1; fixed effects models: 1; random forest: 1; kriging: 1; predictive modeling: 1; r statistical computing: 1; sampling: 1; spatiotemporal data: 1; spatial data: 1; geostatistics: 1; pedometrics: 1; 
434,Predictive Validity,validity,,thiru2003systematic,6,data quality: 1; measurement error: 1; literature review: 1; response scale characteristics: 1; classification: 1; behavior: 1; development: 1; national childrens study: 1; neurotoxicology: 1; study design: 1; general practitioners: 1; survey: 1; reliability: 1; validity: 1; patient satisfaction: 1; 
435,Prescribing Error,error,,nosek2005standardizing,1,
436,Presentation Quality,,A measure of how information is presented to and collected from does how utilize it. Format and appearance support appropriate use of information.,sidi2012data,65,data quality: 8; electronic health records: 4; validity: 4; reliability: 4; meta-analysis: 2; translation: 2; mortality: 2; health information systems: 2; awareness: 2; quality control: 2; information quality: 1; data use: 1; data collection process: 1; evaluation: 1; assessment: 1; public health: 1; population health: 1; information systems: 1; clinical research: 1; oncology: 1; r: 1; public microarray data: 1; gene graphs: 1; low back pain: 1; pain catastrophizing: 1; clinical research informatics: 1; knowledge acquisition: 1; knowledge acquisition and knowledge management: 1; rehabilitation: 1; outcome assessment: 1; clinical involvement: 1; fixation duration: 1; infant: 1; eyetracker methodology: 1; attention: 1; naturalistic: 1; free viewing: 1; very preterm infants: 1; very low birth weight infants: 1; quality assessment: 1; quality indicators: 1; benchmarking: 1; falsification: 1; knowledge bases: 1; morbidity: 1; evidence based medicine: 1; computerized medical records systems: 1; nursing records: 1; semantics: 1; evidence-based practice: 1; causes of death: 1; vital statistics: 1; civil registration: 1; vital registration: 1; knowledge representations: 1; clinical practice guidelines: 1; patient: 1; public: 1; attitudes: 1; methods for integration of information from disparate sources: 1; related factors: 1; case report form: 1; completion guidelines: 1; case report form design: 1; electronic case report form: 1; standard templates: 1; observational studies: 1; guidance for analysis: 1; level of statistical knowledge: 1; cost analysis: 1; health and demographic surveillance systems: 1; health surveys: 1; data collection: 1; survey approaches: 1; burkina faso: 1; genome-wide association study: 1; secondary use: 1; multiple comparison: 1; population structure: 1; genetic model: 1; statistical model: 1; missing heritability: 1; copy number variation: 1; web mining: 1; web scraping: 1; innovation: 1; r&d: 1; electronic medical records: 1; electronic health records [mesh]: 1; data collection [mesh]: 1; global health [mesh]: 1; data use & quality: 1; data completeness: 1; data analysis: 1; data mining: 1; machine learning: 1; statistical data analysis: 1; natural language processing: 1; completeness: 1; correctness: 1; data sources: 1; healthcare quality indicators: 1; physical therapy: 1; cancer: 1; beliefs: 1; factor analysis: 1; known group comparison: 1; health-related quality of life: 1; yoruba sf-36: 1; cultural adaptation: 1; psychometric properties: 1; data validation: 1; routinely collected data: 1; linkage of multiple sources: 1; observational study: 1; dietary assessment: 1; nutritional epidemiology: 1; data interoperability: 1; abstracting: 1; administrative data: 1; health information: 1; informatics: 1; qualitative research: 1; dynamic functional connectivity: 1; sliding window method: 1; replicability: 1; hard clustering: 1; fuzzy meta-state: 1; surrogate testing: 1; parents satisfaction: 1; nicu: 1; health care: 1; neonatal: 1; survey: 1; motivation: 1; health worker: 1; measurement scale: 1; analysis: 1; integrated disease surveillance and response idsr: 1; madagascar: 1; basic healthcare: 1; infectious diseases: 1; surveillance: 1; barriers: 1; career choice: 1; discouraging factors: 1; india: 1; medical students: 1; bayesian nonparametrics: 1; clinimetric tests: 1; parkinsons disease: 1; pattern recognition: 1; remote monitoring: 1; segmentation: 1; wearable sensors: 1; cost measurement: 1; patient-reported: 1; randomized clinical trial: 1; resource use: 1; questionnaire: 1; diabetes: 1; parent satisfaction: 1; parent experience: 1; public health informatics: 1; public health surveillance: 1; disease notification: 1; communicable diseases: 1; electronic laboratory reporting: 1; mental health: 1; bangladesh: 1; quality: 1; information system: 1; 
437,Prevalence-Incidence (Neyman) Bias,bias [sackett1979bias],"A late look at those exposed (or affected) early will miss fatal and other short episodes, plus mild or silent cases and cases in which evidence of exposure disappears with disease onset.",sackett1979bias,1,
438,Primary-to-Model Concordance,concordance,,yost2013high,1,
439,Prior Accuracy,accuracy,,mondoloni2006development,1,trajectory: 1; accuracy: 1; aircraft: 1; air traffic control: 1; time to market: 1; automation: 1; degradation: 1; performance analysis: 1; computational modeling: 1; analytical models: 1; 
440,Privacy,,Traditional syntactic privacy definitions: capture the protection degree enjoyed by data respondents with a numerical value; semantic privacy definitions: take into consideration the mechanism chosen for releasing the data.,de2012data,153,"electronic health records: 11; data quality: 10; epidemiology: 5; hiv: 5; quality: 4; data collection: 4; electronic medical records: 4; surveillance: 4; survey: 4; reliability: 4; qualitative research: 3; health information technology: 3; informatics: 3; methodology: 3; health care: 3; data accuracy: 3; internet: 3; questionnaire: 3; validity: 3; public health: 3; medical informatics: 3; health informatics: 3; data sharing: 2; general practice: 2; public health surveillance: 2; review: 2; electronic health record (ehr): 2; prostate cancer: 2; research networks: 2; primary health care: 2; social media: 2; systematic review: 2; data use and quality: 2; general practitioner (gp): 2; diabetes: 2; e-health: 2; ehr: 2; interventions: 2; registries: 2; common data model: 2; privacy: 2; pregnancy: 2; data warehouse: 2; iot: 2; hospital information systems: 2; clinical data warehouse: 2; information systems: 2; patient satisfaction: 2; research design: 2; randomized control trial: 2; record linkage: 2; mobile phone: 2; assessment: 2; quality control: 2; sub-saharan africa: 2; hiv surveillance: 2; big data: 2; translational research: 2; family physician: 1; very preterm infants: 1; very low birth weight infants: 1; quality assessment: 1; quality indicators: 1; benchmarking: 1; falsification: 1; mortality: 1; morbidity: 1; evidence based medicine: 1; hospital records: 1; smart, connected products: 1; emergency medicine: 1; scps: 1; text mining: 1; user computer interface: 1; vital signs.: 1; immunization: 1; disease clusters: 1; disease mapping: 1; program evaluation: 1; medical ethics: 1; environmental pollution: 1; statistics & research methods: 1; tropical medicine: 1; sequencing: 1; illumina: 1; rare diseases: 1; core-facility: 1; best practice: 1; geographic studies: 1; indel: 1; next generation sequencing: 1; sequence alignment: 1; snv: 1; whole exome sequencing: 1; variant analysis: 1; databases: 1; methods: 1; hazard identification: 1; human: 1; omics technologies: 1; risk assessment: 1; metabolic syndrome x: 1; research: 1; medical records systems, computerised: 1; patient selection: 1; patient registry: 1; mental health: 1; china: 1; cross-sectional study: 1; maternity: 1; shared-care: 1; paper hand-held record (phr): 1; prevalence study: 1; best practice variable: 1; personal electronic health records: 1; sports medicine: 1; software design: 1; family practice: 1; data use agreements: 1; germany: 1; pcor: 1; safetynet: 1; community health centers: 1; medical records: 1; health information exchange: 1; social network: 1; randomized controlled trial: 1; emergency medical services: 1; young people: 1; health education: 1; health behaviors: 1; alcohol drinking: 1; observational data: 1; comparative effectiveness: 1; patients: 1; consumers: 1; exercise: 1; web-based interventions: 1; activity monitoring: 1; physical fitness: 1; algorithms: 1; data summarization: 1; clinical pathways: 1; visualization: 1; data preparation: 1; apps: 1; asthma: 1; method: 1; psychiatric study: 1; insulin: 1; mobile health: 1; smartphone: 1; social networks: 1; socioeconomic factors: 1; population characteristics: 1; australia: 1; us: 1; icd-9: 1; breast cancer: 1; unstructured data: 1; data pooling: 1; interoperability: 1; data exchange: 1; large scale studies: 1; public data: 1; radiotherapy: 1; india: 1; inhalant use: 1; cardiac anesthesia: 1; street children: 1; treatment seeking: 1; epidemiological methods: 1; medical record linkage: 1; anesthesia: 1; validation studies: 1; cyber infrastructure: 1; electronic data capture: 1; dataviews: 1; hiv disclosure: 1; resource-limited setting: 1; dialysis: 1; transplantation: 1; esrd: 1; renal replacement therapy: 1; attrition: 1; longitudinal (panel) study: 1; mode switching: 1; non-response bias: 1; web survey: 1; journal-keeping: 1; multicenter trials: 1; clinical coding: 1; epidemiologic methods: 1; observational health data sciences and informatics (ohdsi): 1; interoperable sensors: 1; inspire: 1; airsenseur: 1; internet of things: 1; sensor observation service: 1; sensor web enablement: 1; air quality: 1; security: 1; data quality management processes: 1; de-identification: 1; statistical disclosure control: 1; k-anonymity: 1; optimization: 1; partially accruing data: 1; accrual lag: 1; data visualization: 1; secondary-use data: 1; real-time surveillance: 1; incomplete data: 1; cohort: 1; linked data preparation: 1; exposure status: 1; perinatal: 1; single source: 1; prisoner: 1; iso 8000-61: 1; digital mapping: 1; geographic locations: 1; cmdx: 1; men who have sex with men: 1; rheumatoid arthritis: 1; free text: 1; injury: 1; heat map: 1; emergency department: 1; electronic health records [mesh]: 1; data collection [mesh]: 1; global health [mesh]: 1; data use & quality: 1; data completeness: 1; completeness: 1; correctness: 1; data sources: 1; healthcare quality indicators: 1; physical therapy: 1; abdominal aortic aneurysm: 1; cardiovascular risk: 1; vascular diseases: 1; population based study: 1; screening: 1; abi: 1; pwv: 1; electrocardiography: 1; spirometry: 1; diet: 1; analytics: 1; human genome: 1; electronic medical record: 1; information system: 1; mosaiq: 1; routine clinical data: 1; secondary use of data: 1; data retrieval: 1; stereotactic radiotherapy: 1; meningioma: 1; pathology report: 1; injury surveillance system: 1; interdisciplinary treatment substance dependence: 1; substance use disorders: 1; injury prevention: 1; communicable diseases: 1; disease notification: 1; interprofessional relations: 1; clinical data mart: 1; hydroxymethylglutaryl-coa reductase inhibitors: 1; focus groups: 1; virtual systems: 1; online systems: 1; videoconferencing: 1; communication: 1; mobile apps: 1; diabetes mellitus: 1; user-computer interface: 1; speech recognition software: 1; survey methodology: 1; clinical decision support: 1; developing countries: 1; electronic prescribing: 1; injury epidemiology: 1; probabilistic: 1; linkage quality: 1; case reports: 1; continuum of care: 1; epidemiologic surveillance: 1; clinical trial: 1; data quality in sensors: 1; text messaging: 1; biometric identification: 1; observational study privacy: 1; disorders of sex development: 1; differences of sex development: 1; dsd: 1; sexual differentiation: 1; interdisciplinary care: 1; european network: 1; online experiment: 1; video data acquisition: 1; preferential looking: 1; developmental psychology: 1; infants: 1; culture: 1; translation: 1; adaptation: 1; feasibility: 1; public health informatics: 1; population surveillance: 1; health policy: 1; environmental monitoring: 1; changepoint methods: 1; general practitioners: 1; health information system: 1; s.d.gs: 1; health indicators: 1; health data: 1; global estimates: 1; bangladesh: 1; cardiomyopathy: 1; registry: 1; central data management: 1; quality management: 1; personal health record systems: 1; health records, personal: 1; data analytics: 1; distribute: 1; patient-centered care: 1; health platforms: 1; multiorganizational systems: 1; ultralarge systems: 1; public veterinary services: 1; institutional veterinary context: 1; data user: 1; data distribution: 1; ontology: 1; routinely collected health data: 1; evidence-based medicine: 1; trials: 1; clinical epidemiology: 1; anser caerulescens: 1; behavior: 1; disturbance: 1; drone: 1; nest camera: 1; noninvasive: 1; unmanned aircraft system: 1; waterfowl: 1; population health monitoring: 1; health interview surveys: 1; mixed-mode designs: 1; self-administered questionnaires: 1; sequential mixed-mode design: 1; concurrent mixed-mode design: 1; cardiovascular diseases: 1; chinese: 1; data linkage: 1; interactive record linkage: 1; health and demographic surveillance systems: 1; health facility: 1; geographical information systems (gis): 1; parents satisfaction: 1; nicu: 1; neonatal: 1; predictive value positive: 1; case fatality rate: 1; evaluation: 1; osu klottey: 1; stakeholders: 1; indicators: 1; motivation: 1; health worker: 1; measurement scale: 1; analysis: 1; patient-reported outcomes: 1; quality of life: 1; trial coordinator: 1; research nurse: 1; clinical trials: 1; digital medicine: 1; biomarkers: 1; closed loop: 1; sensors: 1; immunisation: 1; implementation science: 1; data use: 1; accountability: 1; risk based monitoring: 1; rbm: 1; clinical investigators: 1; global implementation of rbm: 1; computer-assisted personal interviewing: 1; computer-assisted survey research: 1; spatial: 1; strengths: 1; weaknesses: 1; opportunities: 1; and threats analysis: 1; migrant health: 1; asylum seeker: 1; refugee: 1; perinatal health: 1; access to care: 1; electronic health record: 1; health information interoperability: 1; health care systems: 1; health information systems: 1; wdqs: 1; web-based data query systems: 1; state public health query systems: 1; health surveillance: 1; public health query systems: 1; disseminated and public health: 1; state public health aggregate level data: 1; state agency and public health: 1; data and public health agencies: 1; adolescents: 1; health risk behavior: 1; kenya: 1; audio computer assisted self-interview: 1; validation: 1; mailing lists: 1; bio-informatics: 1; precision medicine: 1; internet-of-things: 1; sexual minorities: 1; tobacco: 1; survey methods: 1; transgender persons: 1; clinical datasets: 1; research data management: 1; data catalogue: 1; real-world evidence: 1; real-world data: 1; cardiac epidemiology: 1; primary care: 1; urban population: 1; spatial behavior: 1; environment and public health: 1; open: 1; archival: 1; information: 1; system: 1; biomedical: 1; data: 1; preservation: 1; access: 1; secondary use: 1; decision support systems: 1; data security: 1; semantic interoperability: 1; senegal: 1; sentinel surveillance: 1; prevention of mother-to-child transmission: 1; antenatal clinic: 1; suicide prevention: 1; self-harm: 1; indigenous: 1; inuit: 1; first nations: 1; circumpolar: 1; administrative data: 1; data governance: 1; health disparities: 1; demography: 1; international issues: 1; measurement: 1; self-rated health: 1; linked data (data linkage): 1; accuracy of self-reports: 1; elderly: 1; hypertension: 1; data (database) management system: 1; diseases of poverty: 1; malaria: 1; plasmodium falciparum: 1; angiotensin-converting enzyme inhibitors (acei): 1; angiotensin ii receptor blocker (arb): 1; clinical data mart cdm): 1; real world data (rwd): 1; real world evidence (rwe): 1; "
441,Procedural Inconsistency,inconsistency,,doyle2014face,1,
442,Process Error,error,,ballou1985modeling,2,conservation prioritization: 1; curve fitting: 1; extinction risk: 1; second derivative switch points: 1; threatening process: 1; 
443,Process-Specific Variation,variation,,liang2014review,1,lci datasets: 1; lci database: 1; energy: 1; data quality: 1; elcd: 1; pef: 1; 
444,Provider Error,error,,veen2012accuracy,1,
445,Punctuation Error,error,,sneddon2010translation,1,angiotensin-converting enzyme inhibitors (acei): 1; angiotensin ii receptor blocker (arb): 1; clinical data mart cdm): 1; real world data (rwd): 1; real world evidence (rwe): 1; 
446,Putative Error,error,,zhao2010edar,2,quality trimming: 1; quality control: 1; illumina: 1; rnaseq: 1; assembly error: 1; 
447,Question-Level Accuracy,accuracy,,guerrisi2012natural,2,data quality assurance (dqa): 1; safe childbirth checklist (scc): 1; maternal morbidity: 1; maternal and perinatal mortality: 1; data feedback: 1; supportive supervision: 1; patient-reported outcomes: 1; uttar pradesh: 1; india: 1; data accuracy: 1; randomized control trial (rct): 1; 
448,Questionnaire Completeness,completeness,,bliven2001electronic,2,pilot study: 1; suicide: 1; suicidal behavior: 1; risk factors: 1; biomarkers: 1; social determinants: 1; knee: 1; osteoarthritis: 1; flare: 1; web-based: 1; case-crossover: 1; 
449,Random Error,error,,foken2004post,37,"data quality: 3; assessment: 2; quality: 2; interrai: 2; measurement error: 2; epidemiology: 2; resident assessment instrument  home care: 1; interrai cha: 1; community health assessment: 1; literature review: 1; response scale characteristics: 1; classification: 1; disease clusters: 1; disease mapping: 1; environmental pollution: 1; rai-hc: 1; geographic studies: 1; methods: 1; replication: 1; replicability: 1; post-publication evaluation: 1; open evaluation: 1; fixation duration: 1; infant: 1; eyetracker methodology: 1; attention: 1; naturalistic: 1; free viewing: 1; rai 2.0: 1; minimum data set: 1; mds: 1; funding: 1; big data: 1; indel: 1; next generation sequencing: 1; sequence alignment: 1; snv: 1; whole exome sequencing: 1; variant analysis: 1; medical audit: 1; medical records: 1; arthroplasty: 1; registries: 1; climate change: 1; maxent: 1; simulation: 1; spatial ecology: 1; spatial prediction: 1; species distribution model: 1; cytokine-induced killer cells: 1; meta-analysis: 1; stomach neoplasms: 1; data pooling: 1; interoperability: 1; data exchange: 1; large scale studies: 1; public data: 1; radiotherapy: 1; dietary assessment: 1; nutritional surveillance: 1; public policy: 1; nutrition databases: 1; usual intake: 1; nutrition policy: 1; phylogeny: 1; molecular clock: 1; evolutionary rate: 1; regression: 1; model selection: 1; gps + bds: 1; tdcp: 1; single frequency: 1; cycle slip: 1; ilam: 1; outlier: 1; wireless sensor networks: 1; dependability: 1; machine learning: 1; monitoring: 1; sensor fusion: 1; peripheral arterial disease: 1; health-related quality of life: 1; vascuqol: 1; vascuqol-6: 1; cognitive interviews: 1; rasch analysis: 1; serial crystallography: 1; free-electron laser: 1; sfx: 1; stills: 1; xfel: 1; detector: 1; geometry: 1; survey: 1; anthropometry: 1; nutrition: 1; child: 1; weight-for-height: 1; weight-for-age: 1; height-for-age: 1; mid-upper arm circumference: 1; muac: 1; standard deviation: 1; kurtosis: 1; geospatial surveillance: 1; health and nonhealth data harmonization: 1; spatial epidemiology: 1; participatory gis: 1; caste, socioeconomic transition: 1; ground truthing: 1; built environment: 1; "
450,Rating Accuracy,accuracy,,murphy1989rater,1,
451,Readability,ease of understanding [firmani2016on],"Readability is defined as the ability of data content to be correctly explained according to known or well defined terms, attributes, units, codes, abbreviations, or other information.",cai2015challenges,25,data quality: 3; clinical research informatics: 1; clinical research: 1; electronic health records: 1; knowledge acquisition: 1; knowledge acquisition and knowledge management: 1; knowledge bases: 1; knowledge representations: 1; methods for integration of information from disparate sources: 1; secondary use: 1; information quality: 1; data use: 1; data collection process: 1; evaluation: 1; assessment: 1; public health: 1; population health: 1; information systems: 1; computerized medical records systems: 1; nursing records: 1; semantics: 1; evidence-based practice: 1; clinical practice guidelines: 1; patient: 1; public: 1; attitudes: 1; awareness: 1; case report form: 1; completion guidelines: 1; case report form design: 1; electronic case report form: 1; standard templates: 1; cost analysis: 1; health and demographic surveillance systems: 1; health surveys: 1; data collection: 1; survey approaches: 1; burkina faso: 1; electronic medical records: 1; electronic health records [mesh]: 1; data collection [mesh]: 1; global health [mesh]: 1; observational study: 1; dietary assessment: 1; nutritional epidemiology: 1; data interoperability: 1; abstracting: 1; administrative data: 1; health information: 1; informatics: 1; qualitative research: 1; dynamic functional connectivity: 1; sliding window method: 1; replicability: 1; hard clustering: 1; fuzzy meta-state: 1; surrogate testing: 1; parents satisfaction: 1; nicu: 1; health care: 1; neonatal: 1; survey: 1; validity: 1; reliability: 1; motivation: 1; health worker: 1; measurement scale: 1; analysis: 1; mental health: 1; bangladesh: 1; quality: 1; information system: 1; 
